Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
6	359	342	263	993	4187	230.0	2400	711	0	1
6	1220	389	356	1902	4182	230.0	2400	711	0	1
6	1457	404	383	2157	2432	0.0	2400	711	0	1
6	1453	402	381	2149	2307	0.0	2400	711	0	1
6	1458	404	383	2158	2304	0.0	2400	711	0	1
6	1453	402	381	2148	2306	0.0	2400	711	0	1
6	1458	404	383	2158	2302	0.0	2400	711	0	1
6	1453	402	381	2148	2306	0.0	2400	711	0	1
6	1458	404	383	2158	2302	0.0	2400	711	0	1
6	1457	404	383	2157	2306	0.0	2400	711	0	1
6	1456	402	381	2151	2307	0.0	2400	711	0	1
6	1456	404	383	2155	2300	0.0	2400	711	0	1
6	1456	402	381	2152	2305	0.0	2400	711	0	1
6	1456	404	383	2155	2302	0.0	2400	711	0	1
6	1456	402	382	2152	2305	0.0	2400	711	0	1
6	1456	404	383	2155	2303	0.0	2400	711	0	1
6	1456	403	382	2153	2305	0.0	2400	711	0	1
6	1455	404	382	2154	2303	0.0	2400	711	0	1
6	1456	403	382	2153	2305	0.0	2400	711	0	1
6	1457	403	382	2155	2303	0.0	2400	711	0	1
6	1454	403	382	2152	2304	0.0	2400	711	0	1
6	1457	403	382	2154	2306	0.0	2400	711	0	1
6	1454	403	382	2152	2302	0.0	2400	711	0	1
6	1456	403	382	2153	2306	0.0	2400	711	0	1
6	1455	403	382	2153	2303	0.0	2400	711	0	1
6	1456	403	382	2153	2305	0.0	2400	711	0	1
6	1455	404	382	2153	2303	0.0	2400	711	0	1
6	1457	404	383	2156	2303	0.0	2400	711	0	0
6	357	341	261	988	2305	0.0	2400	711	0	0
6	359	343	263	994	4176	231.0	2400	711	0	0
6	357	340	261	988	4182	232.0	2400	711	0	0
6	359	343	263	995	4176	229.0	2400	711	0	0
6	357	340	261	988	4182	232.0	2400	711	0	0
6	359	343	263	995	4176	229.0	2400	711	0	0
7	357	340	261	988	4182	232.0	2400	0	666	1
7	466	880	483	1875	4176	229.0	2400	0	666	1
