Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
3	2001	1008	634	3713	2598	477.0	2400	355	0	1
3	2004	1008	635	3718	2598	475.0	2400	355	0	1
3	1997	1005	633	3706	2598	474.0	2400	355	0	1
3	2000	1007	634	3711	2598	476.0	2400	355	0	1
3	2004	1007	634	3716	2596	474.0	2400	355	0	1
3	2000	1007	634	3711	2598	476.0	2400	355	0	1
3	1940	985	624	3618	2616	468.0	2400	355	0	1
3	1941	987	625	3623	2617	470.0	2400	355	0	0
3	2303	1107	677	4164	2511	504.0	2400	355	0	0
3	3605	1545	870	6120	2310	631.0	2400	355	0	0
3	3604	1543	868	6116	2308	630.0	2400	355	0	0
3	3606	1545	870	6122	2310	631.0	2400	355	0	0
4	3603	1543	868	6114	2308	630.0	2400	0	444	1
4	3607	1546	871	6125	2311	631.0	2400	0	444	1
4	1900	1210	704	3905	2802	777.0	2400	0	444	1
4	1865	1296	735	3995	2892	902.0	2400	0	444	1
4	1859	1291	732	3982	2891	898.0	2400	0	444	1
4	1865	1294	734	3993	2890	899.0	2400	0	444	1
4	1805	1260	719	3882	2908	876.0	2400	0	444	1
4	1807	1263	722	3890	2913	878.0	2400	0	444	1
4	1807	1263	721	3889	2911	879.0	2400	0	444	1
4	1804	1260	719	3880	2909	876.0	2400	0	444	1
4	1807	1263	721	3889	2911	879.0	2400	0	444	1
4	1804	1260	719	3880	2909	876.0	2400	0	444	1
4	1806	1263	721	3888	2912	879.0	2400	0	444	1
4	1804	1260	719	3880	2909	876.0	2400	0	444	1
4	1813	1266	723	3900	2910	880.0	2400	0	444	1
4	1804	1259	719	3880	2909	875.0	2400	0	444	1
4	1851	1287	731	3969	2895	895.0	2400	0	444	1
4	1860	1291	732	3983	2890	898.0	2400	0	444	1
4	1857	1289	732	3978	2892	895.0	2400	0	444	1
4	1861	1291	732	3983	2889	897.0	2400	0	444	1
4	1862	1293	733	3988	2890	899.0	2400	0	444	1
4	1861	1292	732	3985	2889	899.0	2400	0	444	1
4	1855	1290	732	3976	2894	898.0	2400	0	444	1
4	1862	1292	732	3985	2888	898.0	2400	0	444	1
4	1860	1292	733	3986	2892	898.0	2400	0	444	1
4	1863	1291	732	3986	2888	897.0	2400	0	444	1
4	1863	1291	732	3986	2888	897.0	2400	0	444	1
4	1806	1261	720	3884	2909	877.0	2400	0	444	1
4	1805	1260	719	3882	2908	876.0	2400	0	444	1
