Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
4	1791	1042	555	3466	2571	656.0	2400	0	444	1
4	1848	1070	567	3565	2559	673.0	2400	0	444	1
4	1839	1065	565	3548	2561	670.0	2400	0	444	1
4	1848	1070	567	3564	2559	673.0	2400	0	444	1
4	1845	1069	567	3559	2561	673.0	2400	0	444	1
4	1839	1066	566	3549	2563	671.0	2400	0	444	1
4	1848	1069	566	3562	2557	673.0	2400	0	444	0
4	895	605	373	1921	2978	391.0	2400	0	444	0
4	363	345	264	1003	4161	233.0	2400	0	444	0
4	365	347	266	1008	4167	234.0	2400	0	444	0
4	363	345	264	1002	4161	233.0	2400	0	444	0
5	365	347	266	1008	4167	234.0	2400	355	222	1
5	513	399	288	1232	3529	252.0	2400	355	222	1
5	1992	931	526	3503	2397	437.0	2400	355	222	1
5	1985	927	524	3490	2396	435.0	2400	355	222	1
5	1992	931	526	3503	2397	437.0	2400	355	222	1
5	1985	927	524	3489	2396	435.0	2400	355	222	1
5	1991	931	526	3501	2397	438.0	2400	355	222	1
5	1986	928	524	3491	2396	436.0	2400	355	222	1
5	1990	930	526	3500	2398	436.0	2400	355	222	1
5	1987	928	524	3494	2395	436.0	2400	355	222	1
5	1988	929	525	3497	2397	436.0	2400	355	222	1
5	1982	926	523	3485	2396	435.0	2400	355	222	1
5	1928	907	515	3403	2408	428.0	2400	355	222	1
5	1929	908	515	3405	2408	429.0	2400	355	222	1
5	1935	910	516	3414	2407	430.0	2400	355	222	1
5	1929	908	515	3405	2408	429.0	2400	355	222	1
5	1929	908	515	3405	2408	429.0	2400	355	222	1
5	1928	907	515	3404	2408	428.0	2400	355	222	1
5	1930	908	516	3407	2409	428.0	2400	355	222	1
5	1928	907	515	3403	2408	428.0	2400	355	222	1
5	1930	908	516	3407	2409	428.0	2400	355	222	1
5	1928	907	515	3402	2408	428.0	2400	355	222	1
5	1929	908	516	3407	2410	429.0	2400	355	222	1
5	1990	929	524	3497	2394	436.0	2400	355	222	1
5	1987	929	525	3496	2397	436.0	2400	355	222	1
5	1989	928	524	3496	2394	435.0	2400	355	222	1
5	1988	929	525	3497	2397	436.0	2400	355	222	1
5	1988	928	524	3494	2395	435.0	2400	355	222	1
5	1988	930	525	3498	2397	438.0	2400	355	222	1
5	1987	928	524	3493	2395	436.0	2400	355	222	1
5	1980	925	523	3482	2397	434.0	2400	355	222	1
5	1990	930	526	3500	2398	436.0	2400	355	222	1
5	1986	928	524	3492	2396	436.0	2400	355	222	1
5	1969	922	522	3468	2401	433.0	2400	355	222	1
5	1928	907	515	3403	2408	428.0	2400	355	222	1
5	1929	908	516	3407	2410	429.0	2400	355	222	1
5	1928	907	515	3403	2408	428.0	2400	355	222	1
5	1929	908	516	3406	2410	429.0	2400	355	222	1
5	1935	910	516	3415	2407	430.0	2400	355	222	1
5	1929	908	515	3405	2408	429.0	2400	355	222	1
5	1929	908	515	3405	2408	429.0	2400	355	222	1
5	1928	908	515	3404	2408	430.0	2400	355	222	1
5	1929	908	515	3406	2408	429.0	2400	355	222	1
5	1928	907	515	3403	2408	428.0	2400	355	222	1
5	1929	908	516	3407	2410	429.0	2400	355	222	1
5	1987	928	524	3493	2395	436.0	2400	355	222	0
5	1990	930	526	3499	2398	436.0	2400	355	222	0
5	3546	1487	773	5883	2221	630.0	2400	355	222	0
5	3544	1486	773	5891	2222	629.0	2400	355	222	0
5	3550	1489	775	5892	2222	630.0	2400	355	222	0
6	3543	1485	773	5877	2222	627.0	2400	711	0	1
6	2547	1129	615	4353	2310	504.0	2400	711	0	1
6	2198	841	517	3572	2287	235.0	2400	711	0	1
6	2201	843	518	3579	2287	236.0	2400	711	0	1
6	2206	843	518	3585	2285	235.0	2400	711	0	1
6	2201	843	519	3580	2289	236.0	2400	711	0	1
6	2268	860	526	3671	2274	236.0	2400	711	0	1
6	2273	863	528	3681	2276	237.0	2400	711	0	1
6	2260	858	525	3660	2276	236.0	2400	711	0	1
6	2272	862	528	3679	2276	236.0	2400	711	0	1
6	2269	860	527	3672	2275	235.0	2400	711	0	1
6	2271	862	528	3678	2276	236.0	2400	711	0	1
6	2261	858	526	3662	2277	235.0	2400	711	0	1
6	2270	862	528	3677	2277	237.0	2400	711	0	1
6	2270	861	527	3675	2275	236.0	2400	711	0	1
6	2269	861	527	3674	2275	236.0	2400	711	0	1
6	2270	861	528	3676	2277	235.0	2400	711	0	1
6	2200	843	518	3579	2288	237.0	2400	711	0	1
6	2199	841	517	3574	2286	235.0	2400	711	0	1
6	2201	843	518	3580	2287	236.0	2400	711	0	1
6	2198	841	517	3574	2287	235.0	2400	711	0	1
6	2201	843	519	3580	2289	236.0	2400	711	0	1
6	2198	841	517	3573	2287	235.0	2400	711	0	1
6	2201	844	519	3581	2289	237.0	2400	711	0	1
6	2204	843	518	3583	2286	235.0	2400	711	0	1
6	2201	844	519	3581	2289	237.0	2400	711	0	1
6	2198	841	517	3574	2287	235.0	2400	711	0	1
6	2201	843	519	3581	2289	236.0	2400	711	0	1
6	2270	861	527	3674	2275	236.0	2400	711	0	1
6	2271	862	528	3677	2276	236.0	2400	711	0	1
6	2269	861	527	3674	2275	236.0	2400	711	0	1
6	2270	862	528	3677	2277	237.0	2400	711	0	1
6	2261	859	526	3663	2277	236.0	2400	711	0	1
6	2270	862	528	3677	2277	237.0	2400	711	0	1
6	2270	861	527	3676	2275	236.0	2400	711	0	1
6	2271	862	528	3677	2276	236.0	2400	711	0	1
6	2269	860	527	3673	2275	235.0	2400	711	0	1
6	2271	862	528	3677	2276	236.0	2400	711	0	1
6	2269	860	527	3672	2275	235.0	2400	711	0	1
6	2208	845	519	3590	2286	237.0	2400	711	0	1
6	2199	841	517	3574	2286	235.0	2400	711	0	1
6	2200	843	518	3579	2288	237.0	2400	711	0	1
6	2198	841	517	3573	2287	235.0	2400	711	0	1
6	2201	843	518	3580	2287	236.0	2400	711	0	1
6	2198	841	517	3573	2287	235.0	2400	711	0	1
6	2201	843	519	3580	2289	236.0	2400	711	0	0
6	2198	841	517	3573	2287	235.0	2400	711	0	0
6	366	348	266	1009	4160	235.0	2400	711	0	0
6	363	345	264	1002	4161	233.0	2400	711	0	0
6	366	347	266	1009	4160	234.0	2400	711	0	0
7	363	345	264	1002	4161	233.0	2400	0	666	1
7	365	347	266	1009	4167	234.0	2400	0	666	1
7	1830	1199	621	3732	2683	843.0	2400	0	666	1
7	1822	1195	620	3719	2687	840.0	2400	0	666	1
7	1824	1197	621	3723	2688	842.0	2400	0	666	1
7	1828	1199	622	3731	2687	843.0	2400	0	666	1
7	1823	1196	621	3722	2688	841.0	2400	0	666	1
7	1822	1196	620	3720	2687	842.0	2400	0	666	1
7	1823	1196	621	3721	2688	841.0	2400	0	666	1
7	1823	1196	620	3721	2686	842.0	2400	0	666	1
7	1822	1196	620	3721	2687	842.0	2400	0	666	1
7	1881	1230	635	3829	2677	865.0	2400	0	666	1
7	1876	1228	634	3822	2678	865.0	2400	0	666	1
7	1881	1229	635	3829	2677	864.0	2400	0	666	1
7	1875	1228	633	3820	2677	866.0	2400	0	666	1
7	1881	1229	635	3829	2677	864.0	2400	0	666	1
7	1875	1227	633	3819	2677	864.0	2400	0	666	1
7	1881	1229	635	3830	2677	864.0	2400	0	666	1
7	1875	1227	633	3819	2677	864.0	2400	0	666	1
7	1882	1229	635	3830	2676	864.0	2400	0	666	1
7	1875	1227	633	3819	2677	864.0	2400	0	666	1
7	1882	1229	631	3830	2668	866.0	2400	0	666	1
7	1824	1197	621	3724	2688	842.0	2400	0	666	1
7	1821	1195	620	3717	2688	841.0	2400	0	666	1
7	1823	1197	621	3724	2688	842.0	2400	0	666	1
7	1828	1199	621	3730	2685	844.0	2400	0	666	1
7	1823	1197	621	3724	2688	842.0	2400	0	666	1
7	1822	1195	620	3718	2687	840.0	2400	0	666	1
7	1823	1197	621	3723	2688	842.0	2400	0	666	1
